name, url
Inthai-backend, https://inthai-backend.dev.codepred.pl/
Inthai-frontend, https://inthai.dev.codepred.pl
Inthai-swagger, https://inthai-backend.dev.codepred.pl/swagger-ui/index.html
Transporticall-keycloak, https://transporticall-keycloak.dev.codepred.pl/
Transporticall-backend, https://transporticall-backend.dev.codepred.pl/
Transporticall-frontend, https://transporticall.dev.codepred.pl/
Transporticall-swagger, https://transporticall-backend.dev.codepred.pl/swagger-ui/index.html
Iplatnosci-backend, https://iplatnosci-backend.dev.codepred.pl/
Iplatnosci-frontend, https://iplatnosci.dev.codepred.pl/
Iplatnosci-keycloak, https://keycloak-backend.dev.codepred.pl/
Iplatnosci-swagger, https://keycloak-backend.dev.codepred.pl/
Biblioteka-backend, https://biblioteka-backend.dev.codepred.pl/
Biblioteka-swagger, https://biblioteka-backend.dev.codepred.pl/swagger-ui/index.html
